,comment_count,dislike_count,duration,like_count,view_count,days_after_last_video,title_length,description_length,tag_count,weekend,season_0,season_1,season_3,day_part_0,day_part_1,day_part_3,season_0,season_1,season_3,day_part_0,day_part_1,day_part_3,review,apple,google,samsung,tesla
53,157,59,415,342,68866,0,51,1320,17,1,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0
54,8,1,155,32,3004,0,49,254,18,1,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0
55,118,26,19,670,42146,0,27,55,13,1,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0
56,37,5,89,209,18393,0,33,529,23,1,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0
57,17,2,143,32,1073,0,33,233,16,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0
58,33,7,341,106,11860,0,38,181,17,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0
59,10,3,195,32,1454,0,52,178,14,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0
60,4,7,153,28,4765,0,54,380,22,1,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0
61,12,2,283,29,1570,1,27,272,20,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0
62,12,4,133,17,2826,0,42,590,27,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0
63,92,15,60,517,31511,0,9,367,22,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0
64,8,1,222,31,1193,1,35,245,24,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0
65,7,2,405,35,2515,0,25,651,20,0,0,0,1,0,0,1,0,0,1,0,0,1,1,0,0,0,0
66,7,2,101,18,2156,0,54,209,25,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0
67,6,4,228,21,1411,0,47,591,27,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0
68,958,67,212,4847,142751,0,23,364,23,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0
69,5,11,263,25,5323,1,36,313,27,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0
70,5,8,164,33,7594,0,46,491,16,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0
71,8,5,112,24,1283,0,31,502,21,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0
72,76,6,463,311,16426,0,22,275,22,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0
73,38,20,133,64,15794,1,47,385,26,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0
74,10,8,76,21,1751,0,14,226,31,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0
75,18,5,8,88,6967,0,26,70,6,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0
76,29,8,239,84,8543,0,23,572,23,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0
77,14,31,80,44,2864,0,41,381,21,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0
78,23,20,137,53,15536,1,42,373,27,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0
79,3,12,41,25,2529,0,53,368,30,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0
80,7,7,251,41,5050,0,35,341,24,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0
81,5,5,147,25,2969,0,40,278,29,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0
82,10,8,570,44,6871,0,44,516,23,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0
83,3,8,25,28,1711,1,30,73,4,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
84,13,11,167,32,5209,1,26,658,35,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0
85,42,12,115,269,20576,0,10,233,22,1,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0
86,8,4,409,30,2377,1,31,897,30,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0
87,5,2,149,30,3668,0,34,524,32,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0
88,135,27,526,172,61017,0,23,1180,40,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0
89,21,14,335,66,30963,0,45,1341,29,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0
90,50,11,375,142,8171,1,50,867,37,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0
91,19,3,446,52,8644,1,34,736,37,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0
92,13,7,156,47,3279,0,38,299,22,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0
93,15,4,114,43,3916,0,26,595,29,0,0,0,1,0,0,1,0,0,1,0,0,1,0,1,0,0,0
94,14,10,305,45,7467,1,34,1448,3,0,0,0,1,0,0,1,0,0,1,0,0,1,0,1,0,0,0
95,3,5,119,17,1718,0,44,369,27,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0
96,16,8,359,55,7415,0,30,1488,18,0,0,0,1,0,1,0,0,0,1,0,1,0,0,1,0,0,0
97,17,4,173,47,2248,0,45,466,31,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0
98,39,4,374,205,8953,1,21,305,29,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0
99,14,3,287,29,2364,0,21,179,25,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0
100,19,6,25,85,6609,1,48,66,24,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0
101,43,11,277,110,16224,0,20,2066,27,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0
102,22,3,199,52,2924,0,15,460,29,1,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0
103,40,15,299,158,22508,0,39,788,34,1,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0
104,9,3,210,25,1752,1,55,330,31,1,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0
105,29,2,31,85,6033,0,41,18,7,1,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0
106,46,3,371,161,10276,0,31,562,29,1,0,0,1,0,0,1,0,0,1,0,0,1,0,1,0,0,0
107,26,5,33,93,8884,0,27,76,16,1,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0
108,56,8,366,219,14330,1,28,1193,27,0,0,0,1,0,1,0,0,0,1,0,1,0,0,1,0,0,0
